id;user_id;requested_role;status;reviewed_by;reviewed_at;created_at;expires_at
a17b8c5b-289b-4dfb-acf8-99015d777801;df25f4c3-79b8-40d5-b415-f9ae639ec07c;student;approved;;2026-03-08 09:57:54.19883+00;2027-09-08 09:55:08.22614+00;2027-09-09 09:55:08.22614+00
0c02605c-7f06-4f89-96e5-d3f966695117;df25f4c3-79b8-40d5-b415-f9ae639ec07c;admin;approved;c4c6de99-2ad9-4ba0-83be-3c2720b65f7a;2026-04-08 17:55:26.877+00;2027-09-08 10:10:12.047881+00;2027-09-09 10:10:12.047881+00
b49777d8-69c1-4798-9405-a03f6839cc6b;034cae20-88b6-4cb3-b0d7-b1200adde8d4;student;rejected;c4c6de99-2ad9-4ba0-83be-3c2720b65f7a;2026-04-09 16:45:56.944+00;2026-04-09 16:44:50.860892+00;2026-04-10 16:44:50.860892+00
085b3dd1-f947-4f9d-8c37-9406f55e14fc;034cae20-88b6-4cb3-b0d7-b1200adde8d4;student;pending;;;2026-04-09 16:46:54.53314+00;2026-04-10 16:46:54.53314+00
